year,sex,age_group,rate,lower_ci,upper_ci,age_band
2024,Both Sexes,Under 1,4.3,4.1,4.5,Neonates
2024,Both Sexes,1 to 4,0.1,0.1,0.2,Infants & Toddlers
2024,Both Sexes,5 to 9,0.1,0.1,0.1,Children
2024,Both Sexes,10 to 14,0.1,0.1,0.1,Children
2024,Both Sexes,15 to 19,0.2,0.2,0.3,Young Adults
2024,Both Sexes,20 to 24,0.4,0.3,0.4,Young Adults
2024,Both Sexes,25 to 29,0.4,0.4,0.4,Young Adults
2024,Both Sexes,30 to 34,0.6,0.6,0.6,Young Adults
2024,Both Sexes,35 to 39,1,0.9,1,Young Adults
2024,Both Sexes,40 to 44,1.4,1.4,1.5,Young Adults
2024,Both Sexes,45 to 49,2.2,2.1,2.2,Middle Aged
2024,Both Sexes,50 to 54,3.4,3.3,3.4,Middle Aged
2024,Both Sexes,55 to 59,5,4.9,5,Middle Aged
2024,Both Sexes,60 to 64,7.3,7.2,7.3,Middle Aged
2024,Both Sexes,65 to 69,11.6,11.5,11.7,Older Adults
2024,Both Sexes,70 to 74,18.7,18.6,18.9,Older Adults
2024,Both Sexes,75 to 79,30.4,30.2,30.6,Seniors
2024,Both Sexes,80 to 84,54.8,54.5,55.2,Seniors
2024,Both Sexes,85 to 89,100.9,100.3,101.6,Elderly
2024,Both Sexes,90 and over,216.2,215,217.4,Elderly
2024,Male,Under 1,4.7,4.5,4.9,Neonates
2024,Male,1 to 4,0.2,0.1,0.2,Infants & Toddlers
2024,Male,5 to 9,0.1,0.1,0.1,Children
2024,Male,10 to 14,0.1,0.1,0.1,Children
2024,Male,15 to 19,0.3,0.3,0.3,Young Adults
2024,Male,20 to 24,0.5,0.5,0.5,Young Adults
2024,Male,25 to 29,0.6,0.6,0.6,Young Adults
2024,Male,30 to 34,0.8,0.8,0.8,Young Adults
2024,Male,35 to 39,1.2,1.2,1.3,Young Adults
2024,Male,40 to 44,1.8,1.8,1.9,Young Adults
2024,Male,45 to 49,2.7,2.6,2.8,Middle Aged
2024,Male,50 to 54,4.1,4,4.2,Middle Aged
2024,Male,55 to 59,6.1,6,6.2,Middle Aged
2024,Male,60 to 64,8.8,8.7,9,Middle Aged
2024,Male,65 to 69,14,13.9,14.2,Older Adults
2024,Male,70 to 74,23,22.8,23.3,Older Adults
2024,Male,75 to 79,36.3,35.9,36.6,Seniors
2024,Male,80 to 84,64.5,63.9,65.1,Seniors
2024,Male,85 to 89,117.8,116.7,118.8,Elderly
2024,Male,90 and over,237.1,234.9,239.3,Elderly
2024,Female,Under 1,3.9,3.7,4.1,Neonates
2024,Female,1 to 4,0.1,0.1,0.1,Infants & Toddlers
2024,Female,5 to 9,0.1,0.1,0.1,Children
2024,Female,10 to 14,0.1,0.1,0.1,Children
2024,Female,15 to 19,0.2,0.1,0.2,Young Adults
2024,Female,20 to 24,0.2,0.2,0.2,Young Adults
2024,Female,25 to 29,0.3,0.2,0.3,Young Adults
2024,Female,30 to 34,0.4,0.4,0.4,Young Adults
2024,Female,35 to 39,0.7,0.7,0.7,Young Adults
2024,Female,40 to 44,1.1,1,1.1,Young Adults
2024,Female,45 to 49,1.6,1.6,1.7,Middle Aged
2024,Female,50 to 54,2.6,2.5,2.7,Middle Aged
2024,Female,55 to 59,3.8,3.8,3.9,Middle Aged
2024,Female,60 to 64,5.7,5.6,5.9,Middle Aged
2024,Female,65 to 69,9.3,9.1,9.4,Older Adults
2024,Female,70 to 74,14.9,14.7,15.1,Older Adults
2024,Female,75 to 79,25.2,25,25.5,Seniors
