year,sex,age,marital_status,deaths,age_band
2024,Both Sexes,All ages,All marital statuses,568613,All Ages
2024,Both Sexes,All ages,Single,73209,All Ages
2024,Both Sexes,All ages,Married,210713,All Ages
2024,Both Sexes,All ages,Widowed,204717,All Ages
2024,Both Sexes,All ages,Divorced,71489,All Ages
2024,Both Sexes,All ages,Civil partnership,1024,All Ages
2024,Both Sexes,All ages,Civil partnership widowed,197,All Ages
2024,Both Sexes,All ages,Civil partnership dissolved,37,All Ages
2024,Both Sexes,All ages,Marital status not stated,7227,All Ages
2024,Both Sexes,0,All marital statuses,2557,NA
2024,Both Sexes,0,Single,2557,NA
2024,Both Sexes,0,Married,0,NA
2024,Both Sexes,0,Widowed,0,NA
2024,Both Sexes,0,Divorced,0,NA
2024,Both Sexes,0,Civil partnership,0,NA
2024,Both Sexes,0,Civil partnership widowed,0,NA
2024,Both Sexes,0,Civil partnership dissolved,0,NA
2024,Both Sexes,0,Marital status not stated,0,NA
2024,Both Sexes,1,All marital statuses,127,NA
2024,Both Sexes,1,Single,127,NA
2024,Both Sexes,1,Married,0,NA
2024,Both Sexes,1,Widowed,0,NA
2024,Both Sexes,1,Divorced,0,NA
2024,Both Sexes,1,Civil partnership,0,NA
2024,Both Sexes,1,Civil partnership widowed,0,NA
2024,Both Sexes,1,Civil partnership dissolved,0,NA
2024,Both Sexes,1,Marital status not stated,0,NA
2024,Both Sexes,2,All marital statuses,101,NA
2024,Both Sexes,2,Single,101,NA
2024,Both Sexes,2,Married,0,NA
2024,Both Sexes,2,Widowed,0,NA
2024,Both Sexes,2,Divorced,0,NA
2024,Both Sexes,2,Civil partnership,0,NA
2024,Both Sexes,2,Civil partnership widowed,0,NA
2024,Both Sexes,2,Civil partnership dissolved,0,NA
2024,Both Sexes,2,Marital status not stated,0,NA
2024,Both Sexes,3,All marital statuses,74,NA
2024,Both Sexes,3,Single,74,NA
2024,Both Sexes,3,Married,0,NA
2024,Both Sexes,3,Widowed,0,NA
2024,Both Sexes,3,Divorced,0,NA
2024,Both Sexes,3,Civil partnership,0,NA
2024,Both Sexes,3,Civil partnership widowed,0,NA
2024,Both Sexes,3,Civil partnership dissolved,0,NA
2024,Both Sexes,3,Marital status not stated,0,NA
2024,Both Sexes,4,All marital statuses,63,NA
2024,Both Sexes,4,Single,63,NA
2024,Both Sexes,4,Married,0,NA
2024,Both Sexes,4,Widowed,0,NA
2024,Both Sexes,4,Divorced,0,NA
2024,Both Sexes,4,Civil partnership,0,NA
2024,Both Sexes,4,Civil partnership widowed,0,NA
2024,Both Sexes,4,Civil partnership dissolved,0,NA
2024,Both Sexes,4,Marital status not stated,0,NA
2024,Both Sexes,5,All marital statuses,58,NA
2024,Both Sexes,5,Single,58,NA
2024,Both Sexes,5,Married,0,NA
2024,Both Sexes,5,Widowed,0,NA
2024,Both Sexes,5,Divorced,0,NA
2024,Both Sexes,5,Civil partnership,0,NA
2024,Both Sexes,5,Civil partnership widowed,0,NA
2024,Both Sexes,5,Civil partnership dissolved,0,NA
2024,Both Sexes,5,Marital status not stated,0,NA
2024,Both Sexes,6,All marital statuses,64,NA
2024,Both Sexes,6,Single,64,NA
2024,Both Sexes,6,Married,0,NA
2024,Both Sexes,6,Widowed,0,NA
2024,Both Sexes,6,Divorced,0,NA
2024,Both Sexes,6,Civil partnership,0,NA
2024,Both Sexes,6,Civil partnership widowed,0,NA
2024,Both Sexes,6,Civil partnership dissolved,0,NA
2024,Both Sexes,6,Marital status not stated,0,NA
2024,Both Sexes,7,All marital statuses,66,NA
2024,Both Sexes,7,Single,66,NA
2024,Both Sexes,7,Married,0,NA
2024,Both Sexes,7,Widowed,0,NA
2024,Both Sexes,7,Divorced,0,NA
2024,Both Sexes,7,Civil partnership,0,NA
2024,Both Sexes,7,Civil partnership widowed,0,NA
2024,Both Sexes,7,Civil partnership dissolved,0,NA
2024,Both Sexes,7,Marital status not stated,0,NA
2024,Both Sexes,8,All marital statuses,58,NA
2024,Both Sexes,8,Single,58,NA
2024,Both Sexes,8,Married,0,NA
2024,Both Sexes,8,Widowed,0,NA
2024,Both Sexes,8,Divorced,0,NA
2024,Both Sexes,8,Civil partnership,0,NA
2024,Both Sexes,8,Civil partnership widowed,0,NA
2024,Both Sexes,8,Civil partnership dissolved,0,NA
