year,month,sex,age_group,deaths,expected,excess,pct_change,age_band
2024,All months,Both Sexes,All ages,568613,618760,-50147,-8.1,All Ages
2024,All months,Both Sexes,0 to 29,7531,7619,-88,-1.2,Infants & Toddlers
2024,All months,Both Sexes,30 to 44,12551,13581,-1030,-7.6,Young Adults
2024,All months,Both Sexes,45 to 49,7878,8672,-794,-9.2,Middle Aged
2024,All months,Both Sexes,50 to 54,13175,13891,-716,-5.2,Middle Aged
2024,All months,Both Sexes,55 to 59,20254,21426,-1172,-5.5,Middle Aged
2024,All months,Both Sexes,60 to 64,27435,30720,-3285,-10.7,Middle Aged
2024,All months,Both Sexes,65 to 69,36346,40483,-4137,-10.2,Older Adults
2024,All months,Both Sexes,70 to 74,51265,55515,-4250,-7.7,Older Adults
2024,All months,Both Sexes,75 to 79,78612,84805,-6193,-7.3,Seniors
2024,All months,Both Sexes,80 to 84,89960,99799,-9839,-9.9,Seniors
2024,All months,Both Sexes,85 to 89,101738,109256,-7518,-6.9,Elderly
2024,All months,Both Sexes,90 and over,121868,132992,-11124,-8.4,Elderly
2024,All months,Male,All ages,289726,314567,-24841,-7.9,All Ages
2024,All months,Male,0 to 29,4747,4836,-89,-1.8,Infants & Toddlers
2024,All months,Male,30 to 44,7796,8105,-309,-3.8,Young Adults
2024,All months,Male,45 to 49,4870,5224,-354,-6.8,Middle Aged
2024,All months,Male,50 to 54,7932,8372,-440,-5.3,Middle Aged
2024,All months,Male,55 to 59,12241,12888,-647,-5,Middle Aged
2024,All months,Male,60 to 64,16339,18467,-2128,-11.5,Middle Aged
2024,All months,Male,65 to 69,21408,24211,-2803,-11.6,Older Adults
2024,All months,Male,70 to 74,29945,31998,-2053,-6.4,Older Adults
2024,All months,Male,75 to 79,43725,47239,-3514,-7.4,Seniors
2024,All months,Male,80 to 84,47047,52335,-5288,-10.1,Seniors
2024,All months,Male,85 to 89,48706,51934,-3228,-6.2,Elderly
2024,All months,Male,90 and over,44970,48958,-3988,-8.1,Elderly
2024,All months,Female,All ages,278887,304194,-25307,-8.3,All Ages
2024,All months,Female,0 to 29,2784,2782,2,0.1,Infants & Toddlers
2024,All months,Female,30 to 44,4755,5476,-721,-13.2,Young Adults
2024,All months,Female,45 to 49,3008,3448,-440,-12.8,Middle Aged
2024,All months,Female,50 to 54,5243,5519,-276,-5,Middle Aged
2024,All months,Female,55 to 59,8013,8538,-525,-6.2,Middle Aged
2024,All months,Female,60 to 64,11096,12254,-1158,-9.4,Middle Aged
