year,sex,age_group,cause,icd10_code,deaths,crude_rate,mean_age,yll_16_64,yll_u75,yll_rate,age_band
2024,Both Sexes,All ages (excluding under 1),All causes,"A00 to R99, U00 to Y89",566056,924.8,79,1053,2313,4174.7,NA
2024,Both Sexes,All ages (excluding under 1),"Tuberculosis, including sequelae","A15 to A19, B90",177,0.3,66,1,2,4,NA
2024,Both Sexes,All ages (excluding under 1),Meningococcal infection and meningitis,"A39, G00 to G03",135,0.2,61,1,2,4,NA
2024,Both Sexes,All ages (excluding under 1),Malignant neoplasm of oesophagus,C15,6929,11.3,74,10,32,57.9,NA
2024,Both Sexes,All ages (excluding under 1),Malignant neoplasm of stomach,C16,3072,5,74,7,17,31.1,NA
2024,Both Sexes,All ages (excluding under 1),Malignant neoplasm of colon,C18,8791,14.4,77,15,38,69.1,NA
2024,Both Sexes,All ages (excluding under 1),"Malignant neoplasm of rectosigmoid junction, rectum, and anus",C19 to C21,7279,11.9,74,17,42,75.4,NA
2024,Both Sexes,All ages (excluding under 1),Malignant neoplasm of liver and intra hepatic bile ducts,C22,5894,9.6,75,9,27,49.1,NA
2024,Both Sexes,All ages (excluding under 1),Malignant neoplasm of pancreas,C25,9192,15,75,13,42,75.3,NA
2024,Both Sexes,All ages (excluding under 1),"Malignant neoplasm of trachea, bronchus and lung",C33 to C34,27826,45.5,75,31,112,202.5,NA
2024,Both Sexes,All ages (excluding under 1),Malignant melanoma of skin,C43,2448,4,75,5,13,23.7,NA
2024,Both Sexes,All ages (excluding under 1),Other malignant neoplasm of the skin,C44,1038,1.7,83,1,2,3.4,NA
2024,Both Sexes,All ages (excluding under 1),Malignant neoplasm of breast,C50,9913,16.2,73,32,71,128.8,NA
2024,Both Sexes,All ages (excluding under 1),Malignant neoplasm of cervix uteri,C53,740,1.2,63,6,11,19.1,NA
2024,Both Sexes,All ages (excluding under 1),Malignant neoplasm of ovary,C56,3225,5.3,73,7,19,33.7,NA
2024,Both Sexes,All ages (excluding under 1),Malignant neoplasm of prostate,C61,10636,17.4,82,3,16,28.2,NA
2024,Both Sexes,All ages (excluding under 1),"Malignant neoplasm of kidney, except pelvis",C64,3694,6,75,6,18,32.2,NA
2024,Both Sexes,All ages (excluding under 1),Malignant neoplasm of bladder,C67,5226,8.5,80,3,12,21.3,NA
2024,Both Sexes,All ages (excluding under 1),Malignant neoplasm of brain,C71,3985,6.5,66,23,45,80.8,NA
2024,Both Sexes,All ages (excluding under 1),Non-Hodgkins lymphoma,C82 to C85,4421,7.2,77,6,16,29.4,NA
2024,Both Sexes,All ages (excluding under 1),Multiple myeloma and malignant plasma cell neoplasms,C90,2821,4.6,79,2,8,13.6,NA
2024,Both Sexes,All ages (excluding under 1),Leukaemia,C91 to C95,4735,7.7,76,12,23,42.3,NA
2024,Both Sexes,All ages (excluding under 1),Diabetes mellitus,E10 to E14,7975,13,79,15,32,58.4,NA
2024,Both Sexes,All ages (excluding under 1),Dementia,"F01, F03",41974,68.6,88,1,7,13.3,NA
2024,Both Sexes,All ages (excluding under 1),Mental and behavioural disorders due to psychoactive substance use,"F11 to F16, F18 to F19",147,0.2,46,3,4,7.7,NA
2024,Both Sexes,All ages (excluding under 1),Motor neuron disease,G12.2,1958,3.2,72,4,12,20.8,NA
2024,Both Sexes,All ages (excluding under 1),Alzheimer disease,G30,26299,43,87,1,6,11.2,NA
2024,Both Sexes,All ages (excluding under 1),Multiple sclerosis,G35,1331,2.2,70,3,10,17.4,NA
2024,Both Sexes,All ages (excluding under 1),Ischaemic heart diseases,I20 to I25,54097,88.4,77,81,230,414.9,NA
2024,Both Sexes,All ages (excluding under 1),Cerebrovascular diseases,I60 to I69,29207,47.7,81,29,75,134.7,NA
2024,Both Sexes,All ages (excluding under 1),Influenza,J09 to J11,2059,3.4,79,4,8,14.7,NA
2024,Both Sexes,All ages (excluding under 1),Pneumonia,J12 to J18,21002,34.3,84,18,42,76.4,NA
2024,Both Sexes,All ages (excluding under 1),"Bronchitis, emphysema, and other chronic pulmonary disease",J40 to J44,27999,45.7,78,19,76,137.5,NA
2024,Both Sexes,All ages (excluding under 1),Asthma and status asthmaticus,J45 to J46,1206,2,77,4,8,13.5,NA
2024,Both Sexes,All ages (excluding under 1),Gastric and duodenal ulcer,K25 to K27,1409,2.3,75,3,8,14.2,NA
2024,Both Sexes,All ages (excluding under 1),Diseases of the liver,K70 to K77,9922,16.2,63,68,137,246.7,NA
2024,Both Sexes,All ages (excluding under 1),Land transport accidents,V01 to V09,1447,2.4,51,27,38,68.7,NA
2024,Both Sexes,All ages (excluding under 1),Accidental poisoning by and exposure to noxious substances,X40 to X49,4935,8.1,47,93,140,252.5,NA
2024,Both Sexes,All ages (excluding under 1),Intentional self-harm,X60 to X84,5489,9,48,102,151,272.4,NA
2024,Both Sexes,All ages (excluding under 1),Intentional self-harm; and event of undetermined intent,"X60 to X84, Y10 to Y34",6198,10.1,48,117,172,310.4,NA
2024,Both Sexes,All ages (excluding under 1),COVID-19,"U07.1 to U07.2, U10.9",6627,10.8,83,4,12,21.7,NA
2024,Male,All ages (excluding under 1),All causes,"A00 to R99, U00 to Y89",288294,961.7,77,657,1415,5158.3,NA
2024,Male,All ages (excluding under 1),"Tuberculosis, including sequelae","A15 to A19, B90",117,0.4,65,1,2,5.5,NA
2024,Male,All ages (excluding under 1),Meningococcal infection and meningitis,"A39, G00 to G03",65,0.2,62,1,1,3.7,NA
2024,Male,All ages (excluding under 1),Malignant neoplasm of oesophagus,C15,4880,16.3,74,8,24,88,NA
2024,Male,All ages (excluding under 1),Malignant neoplasm of stomach,C16,1995,6.7,74,4,11,39.6,NA
2024,Male,All ages (excluding under 1),Malignant neoplasm of colon,C18,4490,15,76,8,21,75.1,NA
2024,Male,All ages (excluding under 1),"Malignant neoplasm of rectosigmoid junction, rectum, and anus",C19 to C21,4251,14.2,74,10,25,89.5,NA
2024,Male,All ages (excluding under 1),Malignant neoplasm of liver and intra hepatic bile ducts,C22,3556,11.9,74,6,17,62.4,NA
